Proquest,noft(STEAM) AND noft(education) AND (noft(ESA) OR noft(European Space Agency) OR noft(Galaxies) OR noft(Galaxy) OR noft(ISS ) OR noft(Microgravity) OR noft(Outer space) OR noft(Rocket) OR noft(Solar system) OR noft(Spacecraft) OR noft(Starmap) OR noft(aerospace) OR noft(astro) OR noft(astro-animation) OR noft(astronomical) OR noft(astronomy) OR noft(astrophotography) OR noft(astrophysicist) OR noft(astrophysics) OR noft(cansat) OR noft(celestial) OR noft(cosmology) OR noft(cubesat) OR noft(international space station) OR noft(keyword) OR noft(lunar) OR noft(mars) OR noft(moon) OR noft(nasa) OR noft(night sky) OR noft(planet) OR noft(planetarium) OR noft(sattelite) OR noft(space agency) OR noft(space camp) OR noft(space research) OR noft(star) OR noft(telescope))
WOS,((TS=(STEAM) OR TI=(STEAM) OR AB=(STEAM)) AND (TS=(education) OR TI=(education) OR AB=(education))) AND ((TS=(ESA) OR TI=(ESA) OR AB=(ESA)) OR (TS=(Galaxies) OR TI=(Galaxies) OR AB=(Galaxies)) OR (TS=(Galaxy) OR TI=(Galaxy) OR AB=(Galaxy)) OR (TS=(ISS) OR TI=(ISS) OR AB=(ISS)) OR (TS=(Microgravity) OR TI=(Microgravity) OR AB=(Microgravity)) OR (TS=(Outer space) OR TI=(Outer space) OR AB=(Outer space)) OR (TS=(Rocket) OR TI=(Rocket) OR AB=(Rocket)) OR (TS=(Solar system) OR TI=(Solar system) OR AB=(Solar system)) OR (TS=(Spacecraft) OR TI=(Spacecraft) OR AB=(Spacecraft)) OR (TS=(Starmap) OR TI=(Starmap) OR AB=(Starmap)) OR (TS=(aerospace) OR TI=(aerospace) OR AB=(aerospace)) OR (TS=(astro) OR TI=(astro) OR AB=(astro)) OR (TS=(astro-animation) OR TI=(astro-animation) OR AB=(astro-animation)) OR (TS=(astronomical) OR TI=(astronomical) OR AB=(astronomical)) OR (TS=(astronomy) OR TI=(astronomy) OR AB=(astronomy)) OR (TS=(astrophotography) OR TI=(astrophotography) OR AB=(astrophotography)) OR (TS=(astrophysicist) OR TI=(astrophysicist) OR AB=(astrophysicist)) OR (TS=(astrophysics) OR TI=(astrophysics) OR AB=(astrophysics)) OR (TS=(cansat) OR TI=(cansat) OR AB=(cansat)) OR (TS=(celestial) OR TI=(celestial) OR AB=(celestial)) OR (TS=(cosmology) OR TI=(cosmology) OR AB=(cosmology)) OR (TS=(cubesat) OR TI=(cubesat) OR AB=(cubesat)) OR (TS=(international space station) OR TI=(international space station) OR AB=(international space station)) OR (TS=(lunar) OR TI=(lunar) OR AB=(lunar)) OR (TS=(mars) OR TI=(mars) OR AB=(mars)) OR (TS=(moon) OR TI=(moon) OR AB=(moon)) OR (TS=(nasa) OR TI=(nasa) OR AB=(nasa)) OR (TS=(night sky) OR TI=(night sky) OR AB=(night sky)) OR (TS=(planet) OR TI=(planet) OR AB=(planet)) OR (TS=(planetarium) OR TI=(planetarium) OR AB=(planetarium)) OR (TS=(satellite) OR TI=(satellite) OR AB=(satellite)) OR (TS=(space agency) OR TI=(space agency) OR AB=(space agency)) OR (TS=(space camp) OR TI=(space camp) OR AB=(space camp)) OR (TS=(space research) OR TI=(space research) OR AB=(space research)) OR (TS=(star) OR TI=(star) OR AB=(star)) OR (TS=(telescope) OR TI=(telescope) OR AB=(telescope)))
