Total count,171
Selected count,2.0
Not selected count,169.0
checksum,171.0
,
criteria,
1. Space related,105.0
2. STEAM educational project,14.0
"3. Regarding one single project (thus not methods, or lit reviews)",0.0
4. Duplication,50.0
checksum,169.0
